rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
9174;Dachau;7;-2;16;1;-25;-8;-32;-34;-11;-26;-19;-6;-4;-12;-8;-10;-2;2;-6;-10;-14;-9;-25;-11
9175;Ebersberg;9;-1;16;1;-29;-12;-37;-37;-10;-24;-16;-2;-2;-8;-4;-5;2;5;0;-5;-7;-5;-23;-9
9176;Eichstätt;4;-2;9;-2;-24;-7;-36;-35;-9;-24;-15;1;-1;-8;1;0;6;11;0;-6;-7;-3;-18;-7
9177;Erding;3;-3;10;-2;-33;-17;-46;-44;-12;-35;-19;-2;-15;-16;-15;-15;0;9;-15;-16;-14;-17;-36;-23
9178;Freising;6;-2;15;2;-27;-12;-39;-39;-18;-28;-21;-6;-7;-13;-8;-10;-1;3;-4;-9;-12;-7;-25;-13
9179;Fürstenfeldbruck;7;-1;15;2;-25;-8;-34;-34;-12;-26;-19;-3;-4;-9;-5;-6;-1;4;-4;-9;-11;-6;-24;-9
9180;Garmisch-Partenkirchen;8;8;23;10;-28;-6;-47;-42;-8;-29;2;21;46;28;48;58;47;48;27;18;2;-5;-28;-15
9181;Landsberg am Lech;6;-2;9;-3;-26;-9;-32;-33;-6;-24;-11;6;4;-2;8;9;11;15;5;0;-4;-1;-23;-7
9182;Miesbach;8;2;9;-2;-31;-10;-41;-36;-9;-25;-11;12;19;5;12;20;14;20;5;1;3;-6;-19;-8
9183;Mühldorf am Inn;-2;-7;7;-4;-29;-11;-38;-35;-13;-24;-17;2;-4;-7;-6;-1;-5;5;-8;-8;-15;-6;-18;-5
9184;München;5;-5;13;0;-28;-18;-36;-44;-16;-36;-20;-13;-5;-17;-7;-15;0;-4;-2;-14;-10;-15;-24;-17
9185;Neuburg-Schrobenhausen;5;-3;14;0;-16;-3;-24;-25;4;-15;-5;11;9;3;8;6;11;15;3;-3;-3;1;-10;-2
9186;Pfaffenhofen an der Ilm;8;0;15;2;-23;-8;-33;-32;-12;-23;-16;0;-2;-6;-9;-7;-1;5;-5;-8;-12;-3;-21;-7
9187;Rosenheim;0;-4;8;-3;-27;-9;-37;-36;-10;-25;-12;7;11;3;9;10;9;17;-1;-5;-10;-6;-23;-7
9188;Starnberg;18;4;16;2;-20;-7;-27;-33;-3;-24;-13;2;13;-2;7;5;11;10;2;-5;-1;-5;-17;-10
9189;Traunstein;5;-2;11;-1;-30;-12;-44;-41;-17;-28;-11;9;17;9;21;26;18;26;3;2;-12;-10;-25;-11
9190;Weilheim-Schongau;11;1;15;1;-25;-6;-27;-27;2;-18;-10;12;14;5;16;20;19;25;9;4;2;3;-13;-1
9261;Landshut, Stadt;45;27;35;15;-25;-7;-42;-39;-12;-26;-18;-1;-12;-16;-8;-8;-6;1;-7;-10;-19;-12;-33;-22
9262;Passau, Stadt;-9;-14;4;-7;-35;-16;-58;-51;-30;-33;-17;-3;3;-4;23;22;16;24;7;2;-16;-4;-32;-17
9263;Straubing, Stadt;2;-4;10;-3;-26;-10;-39;-37;-11;-25;-6;6;0;-8;-5;-6;12;10;5;-4;-4;-5;-15;-11
9271;Deggendorf;2;-4;10;-3;-26;-9;-37;-31;-8;-18;-5;17;18;14;25;28;19;28;10;7;1;9;-12;0
9272;Freyung-Grafenau;8;1;5;1;-28;-13;-55;-48;-22;-27;-2;12;24;18;27;31;27;34;2;-2;-14;-3;-31;-11
9273;Kelheim;-1;-7;9;-3;-24;-3;-40;-33;-13;-26;-15;4;3;-4;0;1;5;15;0;-1;-8;2;-18;-2
9274;Landshut;0;-8;5;-8;-30;-13;-37;-32;-10;-17;-9;13;6;5;12;15;14;30;10;10;4;16;-4;16
9275;Passau;10;4;17;7;-24;-3;-43;-35;-16;-21;-12;10;2;2;15;20;17;27;4;3;-11;2;-17;-3
9276;Regen;18;12;24;23;-31;-1;-63;-46;-36;-36;1;25;31;25;56;61;39;51;13;13;-8;3;-43;-16
9277;Rottal-Inn;-2;-8;3;-6;-34;-13;-52;-44;-23;-29;-18;4;2;0;12;12;8;18;-4;-2;-17;0;-17;4
9278;Straubing-Bogen;-4;-7;5;-5;-24;-5;-35;-29;-12;-19;-12;10;6;2;10;17;6;15;2;-2;-6;3;-17;-2
9279;Dingolfing-Landau;2;-1;15;4;-13;1;-35;-28;-6;-15;-6;14;6;1;17;12;11;17;5;-1;2;5;-5;6
9361;Amberg, Stadt;7;-5;17;-3;-18;-11;-36;-40;-11;-32;-20;-6;-13;-14;0;-1;3;6;-1;-9;-9;-9;-21;-17
9362;Regensburg, Stadt;1;-7;10;-4;-32;-20;-50;-49;-27;-39;-25;-15;-14;-21;-12;-14;-12;-6;-14;-19;-25;-21;-37;-26
9363;Weiden in der Oberpfalz, Stadt;7;-5;14;-4;-27;-17;-43;-46;-22;-36;-15;-2;0;-5;4;4;2;10;-18;-11;-24;-11;-32;-14
9371;Amberg-Sulzbach;-8;-7;2;-3;-25;-6;-39;-33;-17;-24;-21;1;-9;-8;-4;0;0;9;2;-2;-1;7;-5;5
9372;Cham;-3;-7;12;3;-27;-8;-47;-39;-20;-26;-8;13;9;4;22;26;16;23;6;2;-6;2;-20;-5
9373;Neumarkt in der Oberpfalz;10;1;19;2;-17;-5;-32;-33;-13;-27;-14;1;2;-7;3;1;8;8;11;-5;-5;-4;-22;-13
9374;Neustadt an der Waldnaab;-5;-5;12;6;-25;-4;-47;-42;-27;-32;-23;-4;-7;-6;-3;1;-4;9;-8;-8;-8;2;-19;-3
9375;Regensburg;0;-5;11;0;-25;-9;-32;-31;-8;-20;-12;5;3;-2;9;9;9;16;5;1;-1;5;-11;2
9376;Schwandorf;-2;-6;8;0;-22;-7;-37;-34;-13;-23;-13;7;4;-2;9;9;9;16;4;-1;-4;2;-13;0
9377;Tirschenreuth;-1;-2;15;10;-24;-8;-33;-34;-9;-23;-9;8;7;3;16;15;21;29;11;7;11;17;-4;9
9461;Bamberg, Stadt;6;-1;16;1;-27;-12;-47;-44;-22;-35;-21;-8;-8;-15;-7;-6;-2;6;-10;-11;-24;-16;-36;-23
9462;Bayreuth, Stadt;12;3;27;10;-22;-8;-39;-41;-10;-31;-11;-3;0;-9;7;2;7;9;-2;-9;-8;-9;-21;-13
9463;Coburg, Stadt;18;2;27;4;-11;-7;-34;-42;-9;-32;-8;-3;3;-10;1;-6;11;7;0;-12;-12;-17;-34;-32
9464;Hof, Stadt;11;0;19;3;-23;-12;-38;-39;-10;-28;-15;-1;-3;-8;2;-2;4;8;-1;-3;-10;-7;-27;-17
9471;Bamberg;3;0;9;-1;-25;-6;-35;-33;-10;-20;-17;3;-2;-4;3;8;6;17;3;1;-5;4;-16;-1
9472;Bayreuth;-2;-4;9;2;-24;-8;-36;-32;-10;-21;-17;6;1;-3;2;3;4;13;-4;-6;-7;1;-14;-2
9473;Coburg;7;-1;11;0;-20;-6;-34;-34;-9;-24;-14;3;-3;-7;-1;-4;1;5;1;-9;-9;-6;-24;-13
9474;Forchheim;8;1;15;2;-21;-9;-36;-36;-7;-24;-11;5;3;-5;1;0;8;11;5;-6;-4;-5;-22;-14
9475;Hof;-7;-10;4;-4;-24;-9;-39;-36;-18;-28;-21;-2;-5;-6;0;-3;4;15;-1;-1;-9;1;-18;0
9476;Kronach;15;-1;19;0;-17;-6;-36;-35;-12;-24;-12;3;-1;-6;-2;3;0;11;3;2;-5;4;-15;2
9477;Kulmbach;14;8;24;12;-12;4;-32;-31;-12;-25;-17;1;-6;-9;3;0;5;9;3;-5;-6;-3;-19;-9
9478;Lichtenfels;12;2;16;3;-19;-3;-33;-33;-7;-22;-7;7;5;-1;14;10;12;17;4;-2;-8;-1;-20;-7
9479;Wunsiedel im Fichtelgebirge;-1;-5;10;1;-24;-10;-46;-40;-15;-27;-11;5;2;-4;3;0;4;13;-6;-9;-13;-5;-26;-12
9561;Ansbach, Stadt;0;-6;8;-7;-27;-15;-45;-45;-17;-33;-13;2;-3;-6;2;4;-12;8;-15;-10;-19;-13;-29;-21
9562;Erlangen, Stadt;0;-6;9;-2;-34;-24;-49;-52;-24;-42;-28;-20;-12;-25;-7;-20;-3;-8;-11;-23;-21;-24;-34;-30
9563;Fürth, Stadt;1;-6;10;-2;-30;-15;-41;-41;-14;-28;-18;-5;-9;-15;-5;-12;-4;1;-7;-14;-16;-11;-31;-18
9564;Nürnberg, Stadt;2;-5;11;-1;-32;-18;-45;-46;-21;-36;-20;-10;-10;-18;-8;-15;-5;-4;-9;-17;-20;-19;-33;-25
9565;Schwabach, Stadt;1;-5;11;-1;-26;-10;-40;-37;-12;-27;-6;1;-3;-13;5;-1;6;9;9;-1;-1;-3;-11;-11
9571;Ansbach;10;5;16;5;-20;-4;-33;-30;-8;-21;-11;11;4;1;4;6;10;19;6;2;-5;3;-20;-2
9572;Erlangen-Höchstadt;1;-5;9;-1;-26;-12;-38;-39;-11;-26;-16;-1;-6;-13;-6;-11;-4;0;-4;-12;-15;-12;-28;-18
9573;Fürth;-1;-5;7;-2;-26;-10;-35;-33;-10;-24;-14;2;-2;-8;0;-7;4;8;2;-7;-9;-5;-22;-8
9574;Nürnberger Land;1;-4;8;-1;-25;-10;-36;-35;-10;-25;-15;2;-2;-8;3;-1;4;10;2;-4;-6;-3;-21;-10
9575;Neustadt an der Aisch-Bad Windsheim;6;4;10;3;-27;-6;-36;-32;-14;-24;-17;5;5;-3;4;3;2;13;-1;-4;-14;-4;-25;-9
